,ISO3,year,ndvi
62,HTI,2002,0.5948187332153321
62,HTI,2003,0.607897674560547
62,HTI,2004,0.5868903274536132
62,HTI,2005,0.6239909591674805
62,HTI,2006,0.6217110061645506
62,HTI,2007,0.6185316390991211
62,HTI,2008,0.6072155380249026
62,HTI,2009,0.5908629226684571
62,HTI,2010,0.6266919403076173
62,HTI,2011,0.6161369476318359
62,HTI,2012,0.606212547302246
62,HTI,2013,0.6032357788085938
62,HTI,2014,0.5999682769775392
62,HTI,2015,0.577952392578125
62,HTI,2016,0.6068040466308596
62,HTI,2017,0.6286031341552735
62,HTI,2018,0.5990057754516601
62,HTI,2019,0.616661163330078
62,HTI,2020,0.6313888626098633
62,HTI,2021,0.6020474014282227
62,HTI,2022,0.6088708419799804
64,HUN,1982,0.587028546142578
64,HUN,1983,0.5850893463134764
64,HUN,1984,0.566753436279297
64,HUN,1985,0.5868752593994141
64,HUN,1986,0.5735997741699218
64,HUN,1987,0.5777110107421874
64,HUN,1988,0.588099365234375
64,HUN,1989,0.5765794586181641
64,HUN,1990,0.5892946014404299
64,HUN,1991,0.5886126708984375
64,HUN,1992,0.5869145935058594
64,HUN,1993,0.57567119140625
64,HUN,1994,0.5926104949951174
64,HUN,1995,0.6005340545654296
64,HUN,1996,0.5898639038085937
64,HUN,1997,0.6083341918945313
64,HUN,1998,0.6014555389404297
64,HUN,1999,0.6060632751464843
64,HUN,2000,0.6047391754150389
64,HUN,2001,0.6200848541259766
64,HUN,2002,0.6029475189208985
64,HUN,2003,0.5575024566650391
64,HUN,2004,0.6343288269042969
64,HUN,2005,0.6176759185791018
64,HUN,2006,0.6039036499023436
64,HUN,2007,0.5825129272460938
64,HUN,2008,0.6399731018066407
64,HUN,2009,0.6067893615722654
64,HUN,2010,0.6289418670654298
64,HUN,2011,0.6185284149169923
64,HUN,2012,0.5805272186279297
64,HUN,2013,0.6055251708984376
64,HUN,2014,0.6382309997558593
64,HUN,2015,0.6021452148437499
64,HUN,2016,0.6499031066894533
64,HUN,2017,0.621264453125
64,HUN,2018,0.6289718017578128
64,HUN,2019,0.6356737670898437
64,HUN,2020,0.6391929077148437
64,HUN,2021,0.5928930847167969
64,HUN,2022,0.5599651947021483
66,IDN,1982,0.7586418884277343
66,IDN,1983,0.7521821655273436
66,IDN,1984,0.7553711364746093
66,IDN,1985,0.7591754882812499
